date,text,place
Fri Jul 22 20:58:17 +0000 2016,RT @BroScienceLife: Some of you need to stop looking for Pokemon and go find some gains instead ? https://t.co/PgQ1U8b7pn https://t.co/GlJh?,NA
Fri Jul 22 20:58:18 +0000 2016,"RT @MichelleHux: I love how all these ""good cop"" stories the media keeps feeding us feature cops not doing their job lmfao https://t.co/9ZE?",NA
Fri Jul 22 20:58:18 +0000 2016,RT @ImperatorOfPuns: cheating at pokemon go https://t.co/lVsFjuGT2N,NA
Fri Jul 22 20:58:18 +0000 2016,RT @pseudonymjones: a quick comic about how bad Pokemon Go is https://t.co/QMbj82EIVv,NA
Fri Jul 22 20:58:18 +0000 2016,"Pokemon Go sets Apple App Store record for launch downloads, but US growth? https://t.co/TMmtYXlB0K #apple #applenews",NA
Fri Jul 22 20:58:18 +0000 2016,RT @CatchEmAlI: Desiigner playing Pokemon Go https://t.co/RgxEZxEUHv,NA
Fri Jul 22 20:58:18 +0000 2016,RT @pseudonymjones: a quick comic about how bad Pokemon Go is https://t.co/QMbj82EIVv,NA
Fri Jul 22 20:58:18 +0000 2016,RT @faria18000: POKEMON GO - YouTube https://t.co/dTjLLBsNoK,NA
Fri Jul 22 20:58:18 +0000 2016,A mood: https://t.co/CPXPWJtbES,NA
Fri Jul 22 20:58:18 +0000 2016,"RT @MichelleHux: I love how all these ""good cop"" stories the media keeps feeding us feature cops not doing their job lmfao https://t.co/9ZE?",NA
Fri Jul 22 20:58:19 +0000 2016,RT @JeremyMcLellan: BREAKING: Hillary Clinton has selected Pokemon Go as her VP,NA
Fri Jul 22 20:58:19 +0000 2016,"RT @arstechnica: Pok?mon Go is ?new level of invasion,? says stony-faced Oliver Stone https://t.co/Sbj91wYLHv by @Brusselsgeek",NA
Fri Jul 22 20:58:19 +0000 2016,RT @verface: according to Pokemon GO my workplace storage is teeming with Clefairy https://t.co/oHROQmCcpN,NA
Fri Jul 22 20:58:20 +0000 2016,RT @OMGitsAliA: 5 MINS UNTIL A NEW POKEMON GO EPISODE - Our first day in Iceland! ????????,NA
Fri Jul 22 20:58:21 +0000 2016,"The Day I Realized My Kids Were Virtual Reality Natives (Thanks Pokemon Go)

https://t.co/uQ48O01Pqk",NA
Fri Jul 22 20:58:21 +0000 2016,"RT @ajplus: This man explains why he feels Pokemon Go is a ?death sentence? if you're black. Featuring @OmariAkil.
https://t.co/FXbOm6FC30",NA
Fri Jul 22 20:58:22 +0000 2016,RT @ImperatorOfPuns: cheating at pokemon go https://t.co/lVsFjuGT2N,NA
Fri Jul 22 20:58:22 +0000 2016,*EASY* *WORKING* How to hack Pokemon go iOS no jailbreak/computer 2016: https://t.co/2ffYVjICEf via @YouTube,NA
Fri Jul 22 20:58:22 +0000 2016,I liked a @YouTube video https://t.co/DF5EULdagN THEY GOT ME OUT HERE SWEATIN!! [POKEMON GO],NA
